BfArM: AMIce-ÖFF/ Arzneimittel © BfArM
 ;Nr.;Eingangsnummer;Arzneimittelbezeichnung;Darreichungsform;Zielgruppe;Anwendungsart;Anwendungsgebiete;Indikation/ATC;Bescheiddatum der Zulassung;Zulassungsstatus;Zulassungs-/Reg.-Nr. (AMG 1976), Register-Nr. (AMG 1961) oder Kennziffer;Verkehrsfähigkeit;Parallelimportinformationen;EU-Verfahrensnummer;Zulassungsinhaber;Hersteller/Endfreigabe;Vertreiber;Örtlicher Vertreter;Wirkstoffe;Packungsgrößen-Gruppe/Verkaufsabgrenzung;AM-Klassifikationen
;52;"'7024717";Eylea 114,3 mg/ml Injektionslösung in einer Fertigspritze - OP 1;Injektionslösung in einer Fertigspritze;Mensch;intravitreale Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (nAMD) (siehe Abschnitt 5.1).- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;12.09.2025;EMA-notifiziert;EU/1/12/797/004;Ja;;EMEA/H/C/2392;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Aflibercept (35907) ist gleich 21 Milligramm;7024717_1, Originalpackung, 0,184 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;53;"'7018092";Eylea 114,3 mg/ml OP 1 114,3 mg/ml Injektionslösung;Injektionslösung;Mensch;Zur intravitrealen Anwendung;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung- der neovaskulären (feuchten) altersabhängigen Makuladegeneration (nAMD) (sieheAbschnitt 5.1)- einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (sieheAbschnitt 5.1).;S01LA05 Aflibercept;21.06.2024;EMA-notifiziert;EU/1/12/797/003;Ja;;EMEA/H/C/2392;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;8011204 Bayer Vital GmbH;Aflibercept (35907) ist gleich 114,3 Milligramm;7018092_1, Originalpackung, 0,263 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;54;"'7002159";Eylea 40 mg / ml Injektionslösung in Durchstechflasche OP 1;Injektionslösung in einer Durchstechflasche;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;17.12.2021;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;8129236 CareCept Medical GmbH;8129236 CareCept Medical GmbH;-;-;Aflibercept (35907) 40 Milligramm;7002159_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;55;"'7004591";Eylea 40 mg / ml Injektionslösung in Durchstechflasche OP 1;Injektionslösung in einer Durchstechflasche;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;14.06.2021;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;8174745 1az Pharm GmbH;8174745 1az Pharm GmbH;-;-;Aflibercept (35907) 40 Milligramm;7004591_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;56;"'7008930";Eylea 40 mg / ml Injektionslösung in Durchstechflasche OP 1;Injektionslösung in einer Durchstechflasche;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;10.03.2023;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;8185708 AxioNovo GmbH;8185708 AxioNovo GmbH;-;-;Aflibercept (35907) 40 Milligramm;7008930_1, Originalpackung, 0,1 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;57;"'7011209";Eylea 40 mg / ml Injektionslösung in Durchstechflasche OP 1;Injektionslösung in einer Durchstechflasche;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;28.10.2022;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Aflibercept (35907) 40 Milligramm;7011209_1, Originalpackung, 40 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;58;"'7003109";Eylea 40 mg / ml Injektionslösung in Durchstechflasche OP 1;Injektionslösung in einer Durchstechflasche;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;14.01.2022;EMA-notifiziert;EU/1/12/797/002;Ja;;EMEA/H/C/2392/01;1007346 SynCo pharma B.V.;1007346 SynCo pharma B.V.;-;-;Aflibercept (35907) 40 Milligramm;7003109_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;59;"'7002449";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung? der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),? einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),? einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),? einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;09.05.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8062667 Paranova Pack A/S;8062667 Paranova Pack A/S;-;-;Aflibercept (35907) 40 Milligramm;7002449_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;60;"'7010194";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung • der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;22.09.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8049833 ACA Müller ADAG Pharma Aktiengesellschaft;8049833 ACA Müller ADAG Pharma Aktiengesellschaft;-;-;Aflibercept (35907) 40 Milligramm;7010194_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;61;"'7003240";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;09.08.2021;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8167521 NMG Pharma GmbH;8167521 NMG Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;7003240_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;62;"'7004716";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).Dieses Arzneimittel wird angewendet bei Frühgeborenen zur Behandlung• einer Frühgeborenen-Retinopathie (retinopathy of prematurity~ ROP) in Zone I (Stadium 1+, 2+, 3 oder 3+), Zone II (Stadium 2+ oder 3+) oder einer AP-ROP (aggressiven posterioren Frühgeborenen-Retinopathie).;S01LA05 Aflibercept;10.03.2023;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8154926 Originalis B.V.;8154926 Originalis B.V.;-;-;Aflibercept (35907) 40 Milligramm;7004716_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)1 AMG [bis 14.AMG-Novelle (06.09.2005) § 49 AMG];SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;63;"'7005936";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in Fertigspritzen;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;31.01.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8174745 1az Pharm GmbH;8174745 1az Pharm GmbH;-;-;Aflibercept (35907) 40 Milligramm;7005936_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;64;"'7014956";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in Fertigspritzen;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung • der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1), • einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1), • einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1), • einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).Dieses Arzneimittel wird angewendet bei Frühgeborenen zur Behandlung • einer Frühgeborenen-Retinopathie (retinopathy of prematurity~ ROP) in Zone I (Stadium 1+, 2+, 3 oder 3+), Zone II (Stadium 2+ oder 3+) oder einer AP-ROP (aggressiven posterioren Frühgeborenen-Retinopathie). ;S01LA05 Aflibercept;24.08.2023;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;1009796 Docpharm GmbH;8029457 CC - Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;7014956_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;65;"'7006754";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;21.03.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;1007346 SynCo pharma B.V.;1007346 SynCo pharma B.V.;-;-;Aflibercept (35907) 40 Milligramm;7006754_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;66;"'7010581";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;08.11.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8144626 hvd medical GmbH;8144626 hvd medical GmbH;-;-;Aflibercept (35907) 40 Milligramm;7010581_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;67;"'7002693";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in Fertigspritzen;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;10.08.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02	;8124859 Abacus Medicine A/S;8124859 Abacus Medicine A/S;-;-;Aflibercept (35907) 40 Milligramm;7002693_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;68;"'7002520";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in Fertigspritzen;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;11.05.2021;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8029457 CC - Pharma GmbH;8029457 CC - Pharma GmbH;-;-;Aflibercept (35907) 40 Milligramm;7002520_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;69;"'7005636";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;18.02.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8146789 European Pharma B.V.;8146789 European Pharma B.V.;-;-;Aflibercept (35907) 40 Milligramm;7005636_1, Originalpackung, 1 Stück, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;70;"'7002647";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV)  (siehe Abschnitt 5.1).;S01LA05 Aflibercept;26.10.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02	;8090132 HAEMATO PHARM GmbH;8090132 HAEMATO PHARM GmbH;-;-;Aflibercept (35907) 40 Milligramm;7002647_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
;71;"'7005944";Eylea 40 mg / ml Injektionslösung in Fertigspritze OP 1;Injektionslösung in einer Fertigspritze;Mensch;Injektion intravitreal;Dieses Arzneimittel wird angewendet bei Erwachsenen zur Behandlung• der neovaskulären (feuchten) altersabhängigen Makuladegeneration (AMD) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines Makulaödems infolge eines retinalen Venenverschlusses (RVV) (Venenastverschluss [VAV] oder Zentralvenenverschluss [ZVV]) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund eines diabetischen Makulaödems (DMÖ) (siehe Abschnitt 5.1),• einer Visusbeeinträchtigung aufgrund einer myopen choroidalen Neovaskularisation (mCNV) (siehe Abschnitt 5.1).;S01LA05 Aflibercept;24.03.2022;EMA-notifiziert;EU/1/12/797/001;Ja;;EMEA/H/C/2392/02;8142751 2CARE4 ApS HR-Beiname: Aurora Medical ApS;8142751 2CARE4 ApS HR-Beiname: Aurora Medical ApS;-;-;Aflibercept (35907) 40 Milligramm;7005944_1, Originalpackung, 0,09 ml, verschreibungspflichtig, verschreibungspflichtig gemäß § 48(1),(2)2 AMG;SiMerk--Rx-J: Sicherheitsmerkmal Pflicht - Verschreibungspflichtiges Arzneimittel (Rx), das die Sicherheitsmerkmale nach Artikel 54 Buchstabe o der Richtlinie 2001/83/EG und der Delegierten VO (EU) 2016/161 tragen muss;
